fold,model,auroc,auprc
0,logistic_l2,0.625450489036965,0.1422719972100792
0,hist_gbrt,0.6103193135912062,0.13794306385908878
1,logistic_l2,0.6222736593026836,0.14583769257964502
1,hist_gbrt,0.6321049167800428,0.14997591088411558
2,logistic_l2,0.601686617729232,0.14787866774489716
2,hist_gbrt,0.5839515877455894,0.12448301894709198
3,logistic_l2,0.6170004451961422,0.15133236420970542
3,hist_gbrt,0.613501669294369,0.14396735484982104
4,logistic_l2,0.6063603540805208,0.13901574846208947
4,hist_gbrt,0.6288794984098145,0.1471094227005175
